configuration,n_reports,n_diseases,json_valid_rate,input_grounding_ready_rate,identity_valid_rate,rank_preserved_rate,required_fields_complete_rate,evidence_ids_valid_rate,each_role_cites_evidence_rate,observed_inferred_separated_rate,prohibited_fields_absent_rate,qc_pass_rate,expert_direction_cites_disease_context_rate,expert_direction_cites_drug_action_rate,chair_direction_cites_disease_context_rate,chair_direction_cites_drug_action_rate,expert_direction_trace_present_rate,chair_direction_synthesis_present_rate,direction_grounding_complete_rate,expert_direction_label_consistent_rate,chair_direction_label_consistent_rate,direction_quality_pass_rate
GGG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.9866666666666667,1.0,1.0,0.9866666666666667,1.0,1.0,0.9866666666666667
GGO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.9866666666666667,1.0,1.0,0.9866666666666667,1.0,1.0,0.9866666666666667
GGQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.9866666666666667,1.0,1.0,0.9866666666666667,1.0,1.0,0.9866666666666667
GOG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,0.9733333333333334,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.96,1.0,1.0,0.96
GOO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,0.9733333333333334,0.9866666666666667,0.9733333333333334,0.9866666666666667,0.9866666666666667,0.96,1.0,1.0,0.96
GOQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,0.9733333333333334,0.9866666666666667,0.9733333333333334,0.9866666666666667,0.9866666666666667,0.96,1.0,1.0,0.96
GQG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,0.9733333333333334,1.0,1.0,0.9733333333333334,1.0,1.0,0.9733333333333334
GQO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,0.9733333333333334,1.0,1.0,0.9733333333333334,1.0,1.0,0.9733333333333334
GQQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,0.9733333333333334,1.0,1.0,0.9733333333333334,1.0,1.0,0.9733333333333334
OGG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OGO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OGQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OOG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.9866666666666667,1.0,0.9733333333333334,0.9866666666666667,0.9866666666666667,1.0,1.0,0.9733333333333334
OOO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.9866666666666667,1.0,0.9733333333333334,0.9733333333333334,0.9866666666666667,1.0,1.0,0.9733333333333334
OOQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.9866666666666667,1.0,0.9733333333333334,0.9866666666666667,0.9866666666666667,1.0,1.0,0.9733333333333334
OQG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OQO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OQQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QGG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QGO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QGQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QOG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,1.0,0.9866666666666667,0.9866666666666667,1.0,1.0,0.9866666666666667
QOO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QOQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QQG,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QQO,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QQQ,75,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
