configuration,mean,ci_low,ci_high,n_diseases
QQO,3.3119999999999994,3.1386666666666665,3.48,15
OQQ,3.28,3.144,3.4106666666666667,15
OQO,3.2773333333333334,3.1333333333333333,3.408000000000001,15
QOQ,3.2560000000000007,3.1066666666666674,3.397333333333334,15
QOO,3.242666666666666,3.0906666666666665,3.3813333333333335,15
OOQ,3.232,3.0693333333333337,3.402666666666667,15
QOG,3.2319999999999998,3.045333333333333,3.4079999999999995,15
OOO,3.194666666666666,3.0453333333333332,3.349333333333334,15
GOO,3.1893333333333334,3.0319999999999996,3.328,15
GOQ,3.178666666666666,3.064,3.2853333333333334,15
OOG,3.1493333333333333,2.9973333333333327,3.3146666666666675,15
GOG,3.12,2.9653333333333336,3.261333333333334,15
OQG,3.1199999999999997,3.0053333333333336,3.226666666666666,15
GQO,3.074666666666667,2.9200000000000004,3.2533333333333334,15
QQQ,3.0480000000000005,2.9306666666666663,3.1679999999999997,15
OGO,3.042666666666667,2.936,3.1599999999999997,15
GQQ,2.9840000000000004,2.8666666666666667,3.098666666666667,15
QGO,2.9759999999999995,2.8586666666666662,3.1013333333333333,15
QQG,2.9733333333333336,2.8346666666666667,3.1039999999999996,15
OGQ,2.946666666666666,2.8000000000000003,3.08,15
GGO,2.9440000000000004,2.7680000000000002,3.12,15
OGG,2.8960000000000004,2.7920000000000003,2.9946666666666673,15
QGQ,2.869333333333333,2.773333333333333,2.96,15
QGG,2.8133333333333335,2.7093333333333334,2.912,15
GQG,2.810666666666667,2.6826666666666665,2.9306666666666668,15
GGQ,2.7013333333333334,2.5600000000000005,2.8320000000000003,15
GGG,2.6666666666666665,2.5493333333333337,2.778666666666667,15
