role,diagnostic,model_code,mean_score,sd_across_configuration_disease_units,n_configuration_disease_units,n_configurations,n_diseases
Sponsor,sponsor_quality,G,3.21037037037037,0.5546646255862433,135,9,15
Sponsor,sponsor_quality,O,3.583703703703704,0.48379831239446514,135,9,15
Sponsor,sponsor_quality,Q,3.7718518518518516,0.48571409990194847,135,9,15
Expert,expert_quality,G,2.4088888888888893,0.3203232198485294,135,9,15
Expert,expert_quality,O,2.918518518518518,0.3803347279062486,135,9,15
Expert,expert_quality,Q,3.05037037037037,0.42088642671172033,135,9,15
Chair,chair_quality,G,2.595555555555556,0.4235364028948567,135,9,15
Chair,chair_quality,O,2.813333333333334,0.40312214363213433,135,9,15
Chair,chair_quality,Q,2.7525925925925927,0.4247615010574072,135,9,15
Chair,chair_synthesis,G,3.18962962962963,0.48887230485968114,135,9,15
Chair,chair_synthesis,O,3.4681481481481486,0.491821447374239,135,9,15
Chair,chair_synthesis,Q,3.2074074074074073,0.5891594860007949,135,9,15
