selection_order,disease,source_disease,therapeutic_area,rank,drug,retrieval_score,best_path_pattern,best_path_nodes,best_path_rels
1,Cushing syndrome,Cushing syndrome,metabolic_endocrine,1,Betamethasone,8.823835,drug_to_disease_anchor_gene,"[""Betamethasone"", ""NR3C1"", ""PPARG"", ""Cushing syndrome""]","[""activation"", ""ppi"", ""associated_with""]"
1,Cushing syndrome,Cushing syndrome,metabolic_endocrine,2,Rosiglitazone,8.822558,drug_to_disease_via_anchor_gene_path,"[""Rosiglitazone"", ""PPARG"", ""regulation of blood pressure"", ""POMC"", ""Cushing syndrome""]","[""activation"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
1,Cushing syndrome,Cushing syndrome,metabolic_endocrine,3,Troglitazone,8.783974,drug_to_disease_via_anchor_gene_path,"[""Troglitazone"", ""PPARG"", ""regulation of blood pressure"", ""POMC"", ""Cushing syndrome""]","[""activation"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
1,Cushing syndrome,Cushing syndrome,metabolic_endocrine,4,Cannabidiol,8.118284,drug_target_to_anchor_disease_gene_via_bio,"[""Cannabidiol"", ""ALOX15"", ""lipid metabolic process"", ""PPARG"", ""Cushing syndrome""]","[""enzyme"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
1,Cushing syndrome,Cushing syndrome,metabolic_endocrine,5,Medrysone,7.970249,drug_to_disease_anchor_gene,"[""Medrysone"", ""NR3C1"", ""PPARG"", ""Cushing syndrome""]","[""activation"", ""ppi"", ""associated_with""]"
2,Pulmonary arterial hypertension,pulmonary arterial hypertension,cardiovascular,1,Lisinopril,12.592233,drug_target_to_anchor_disease_gene_via_bio,"[""Lisinopril"", ""ACE"", ""regulation of vasoconstriction"", ""KCNA5"", ""pulmonary arterial hypertension""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
2,Pulmonary arterial hypertension,pulmonary arterial hypertension,cardiovascular,2,Enalapril,12.577416,drug_target_to_anchor_disease_gene_via_bio,"[""Enalapril"", ""ACE"", ""regulation of vasoconstriction"", ""KCNA5"", ""pulmonary arterial hypertension""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
2,Pulmonary arterial hypertension,pulmonary arterial hypertension,cardiovascular,3,Enalaprilat,12.565876,drug_target_to_anchor_disease_gene_via_bio,"[""Enalaprilat"", ""ACE"", ""regulation of vasoconstriction"", ""KCNA5"", ""pulmonary arterial hypertension""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
2,Pulmonary arterial hypertension,pulmonary arterial hypertension,cardiovascular,4,Imatinib,7.750665,gene_gene,"[""Imatinib"", ""PDGFRB"", ""CAV1"", ""pulmonary arterial hypertension""]","[""inhibition"", ""ppi"", ""associated_with""]"
2,Pulmonary arterial hypertension,pulmonary arterial hypertension,cardiovascular,5,Methylprednisolone,7.67771,gene_gene,"[""Methylprednisolone"", ""NR3C1"", ""HDAC1"", ""pulmonary arterial hypertension""]","[""activation"", ""ppi"", ""associated_with""]"
