area,method,run,n_diseases,total_gold,Hit@10,Hit@50,Hit@100,Hit@200,MRR@100,MacroR@100,MicroR@100,gold_hit@100,gold_hit@200,n_cases_total,n_zero_gold_cases
autoimmune_derm_inflammatory,GraphDRx,main,10,186,0.8,0.9,0.9,0.9,0.35444444444444445,0.6059879488703018,0.5967741935483871,111,116,10,0
autoimmune_derm_inflammatory,GraphDRx without T anchor branch,ablation_no_T,10,186,0.8,0.9,0.9,0.9,0.45547008547008544,0.6114879488703019,0.6021505376344086,112,115,10,0
autoimmune_derm_inflammatory,GraphDRx without B vector branch,ablation_no_B,10,186,0.8,0.9,0.9,0.9,0.272063492,0.6009879488703018,0.5860215053763441,109,113,10,0
autoimmune_derm_inflammatory,GraphDRx without C semantic-prior branch,ablation_no_C,10,186,0.3,0.5,0.6,0.6,0.053313133,0.066271185,0.075268817,14,14,10,0
autoimmune_derm_inflammatory,GraphDRx without D direct branch,ablation_no_D,10,186,0.8,0.9,0.9,0.9,0.35444444444444445,0.6099879488703018,0.6021505376344086,112,114,10,0
cancer,GraphDRx,main,21,126,0.38095238095238093,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.18146017562068067,0.6414038342609772,0.5555555555555556,70,75,21,0
cancer,GraphDRx without T anchor branch,ablation_no_T,21,126,0.47619047619047616,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.1705674618490888,0.6175943104514534,0.5396825396825397,68,73,21,0
cancer,GraphDRx without B vector branch,ablation_no_B,21,126,0.38095238095238093,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.19472911767969617,0.6255308183879612,0.5158730158730159,65,70,21,0
cancer,GraphDRx without C semantic-prior branch,ablation_no_C,21,126,0.23809523809523808,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.13348159776731205,0.19841269841269843,0.18253968253968253,23,23,21,0
cancer,GraphDRx without D direct branch,ablation_no_D,21,126,0.5238095238095238,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.2114947350629213,0.6397031539888683,0.5476190476190477,69,73,21,0
cardiovascular,GraphDRx,main,11,201,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.17958299870064573,0.46487587385645646,0.46766169154228854,94,112,11,0
cardiovascular,GraphDRx without T anchor branch,ablation_no_T,11,201,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.25190642690642684,0.4332909539220218,0.4577114427860697,92,108,11,0
cardiovascular,GraphDRx without B vector branch,ablation_no_B,11,201,0.5454545454545454,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.299849954,0.4307271746592134,0.46766169154228854,94,109,11,0
cardiovascular,GraphDRx without C semantic-prior branch,ablation_no_C,11,201,0.18181818181818182,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.044909472,0.17388867874304767,0.099502488,20,20,11,0
cardiovascular,GraphDRx without D direct branch,ablation_no_D,11,201,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.23236965055146871,0.46575848638955436,0.472636816,95,112,11,0
hematologic_genetic,GraphDRx,main,5,25,0.8,1,1,1,0.45425531914893613,0.7857142857142857,0.84,21,21,5,0
hematologic_genetic,GraphDRx without T anchor branch,ablation_no_T,5,25,0.4,1,1,1,0.3304905239687848,0.7857142857142857,0.84,21,21,5,0
hematologic_genetic,GraphDRx without B vector branch,ablation_no_B,5,25,0.6,1,1,1,0.46739130434782616,0.6523809523809524,0.76,19,19,5,0
hematologic_genetic,GraphDRx without C semantic-prior branch,ablation_no_C,5,25,0.8,0.8,0.8,0.8,0.36190476190476184,0.5952380952380951,0.6,15,15,5,0
hematologic_genetic,GraphDRx without D direct branch,ablation_no_D,5,25,0.8,1,1,1,0.4728267477203647,0.7857142857142857,0.84,21,21,5,0
infectious,GraphDRx,main,16,205,0.625,0.9375,0.9375,0.9375,0.3812593595842142,0.5796161321716788,0.4634146341463415,95,95,16,0
infectious,GraphDRx without T anchor branch,ablation_no_T,16,205,0.75,0.9375,0.9375,0.9375,0.41194008537758536,0.5960223821716788,0.48292682926829267,99,99,16,0
infectious,GraphDRx without B vector branch,ablation_no_B,16,205,0.6875,0.9375,0.9375,0.9375,0.43569399350649346,0.5878702082586353,0.4682926829268293,96,96,16,0
infectious,GraphDRx without C semantic-prior branch,ablation_no_C,16,205,0.625,0.75,0.75,0.75,0.3006315331010453,0.15040067806412116,0.13170731707317074,27,27,16,0
infectious,GraphDRx without D direct branch,ablation_no_D,16,205,0.6875,0.9375,0.9375,0.9375,0.3875254953379953,0.5796161321716788,0.4634146341463415,95,95,16,0
metabolic_endocrine,GraphDRx,main,12,103,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.21286088298955944,0.6632653061224489,0.4174757281553398,43,49,12,0
metabolic_endocrine,GraphDRx without T anchor branch,ablation_no_T,12,103,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.15671254830737585,0.6831065759637188,0.46601941747572817,48,49,12,0
metabolic_endocrine,GraphDRx without B vector branch,ablation_no_B,12,103,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2485513098013098,0.6870748299319728,0.47572815533980584,49,49,12,0
metabolic_endocrine,GraphDRx without C semantic-prior branch,ablation_no_C,12,103,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.21082408632800567,0.2799036281179138,0.13592233009708737,14,14,12,0
metabolic_endocrine,GraphDRx without D direct branch,ablation_no_D,12,103,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.2140562054672095,0.6632653061224489,0.4174757281553398,43,49,12,0
neuro_mental,GraphDRx,main,15,218,0.6,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.38752380952380944,0.5717845117845118,0.47706422018348627,104,105,15,0
neuro_mental,GraphDRx without T anchor branch,ablation_no_T,15,218,0.6666666666666666,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.4217714799820062,0.5717845117845118,0.47706422018348627,104,105,15,0
neuro_mental,GraphDRx without B vector branch,ablation_no_B,15,218,0.6666666666666666,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.40397907946295036,0.5674635241301907,0.46788990825688076,102,103,15,0
neuro_mental,GraphDRx without C semantic-prior branch,ablation_no_C,15,218,0.066666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.082009465,0.087283951,0.055045872,12,12,15,0
neuro_mental,GraphDRx without D direct branch,ablation_no_D,15,218,0.6,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.42180330127698545,0.5717845117845118,0.47706422018348627,104,105,15,0
